,Exp,balanced accuracy
0,SVM_p2_F3L6P3SVM3A.csv,0.92
1,SVM_p2_D11L6P5SVM1A.csv,0.9
2,SVM_p2_F2L6P3SVM4ABN.csv,0.92
3,SVM_p2_F2L6P5SVM4ABN.csv,0.91
4,SVM_p2_F3L6P3SVM1A.csv,0.88
5,SVM_p2_D11L6P5SVM3A.csv,0.91
6,SVM_p2_F3L6P5SVM4A.csv,0.62
7,SVM_p2_D11L6P3SVM4A.csv,0.75
8,SVM_p2_F3L6P5SVM3A.csv,0.92
9,SVM_p2_F1L6P5SVM3ABN.csv,0.95
10,SVM_p2_F2L6P5SVM3ABN.csv,0.95
11,SVM_p2_D11L6P5SVM4A.csv,0.76
12,SVM_p2_F3L6P3SVM4A.csv,0.62
13,SVM_p2_F3L6P5SVM2A.csv,0.94
14,SVM_p2_F1L6P5SVM1ABN.csv,0.94
15,SVM_p2_F1L6P5SVM2ABN.csv,0.93
16,SVM_p2_D11L6P3SVM1A.csv,0.9
17,SVM_p2_F2L6P5SVM2ABN.csv,0.92
18,SVM_p2_F1L6P3SVM1ABN.csv,0.94
19,SVM_p2_F3L6P5SVM1A.csv,0.88
20,SVM_p2_F2L6P5SVM1ABN.csv,0.93
21,SVM_p2_F1L6P3SVM4ABN.csv,0.9
22,SVM_p2_D11L6P3SVM2A.csv,0.87
23,SVM_p2_F1L6P3SVM2ABN.csv,0.94
24,SVM_p2_F1L6P3SVM3ABN.csv,0.95
25,SVM_p2_D11L6P3SVM3A.csv,0.92
26,SVM_p2_D11L6P5SVM2A.csv,0.86
27,SVM_p2_F1L6P5SVM4ABN.csv,0.91
28,SVM_p2_F2L6P3SVM2ABN.csv,0.92
29,SVM_p2_F2L6P3SVM3ABN.csv,0.95
30,SVM_p2_F3L6P3SVM2A.csv,0.94
