,id_model,Model name,Representations,Data,Libraries,Algorithm,Solver,Class weight
0,LRG1,LRG_p2_F1L6P3LRG1A,ECFP4,80/20,PPI and FDA,LRG,newton-cg,True
1,LRG2,LRG_p2_F1L6P3LRG2A,ECFP4,80/20,PPI and FDA,LRG,lbfgs,True
2,LRG3,LRG_p2_F1L6P3LRG3A,ECFP4,80/20,PPI and FDA,LRG,liblinear,True
3,LRG4,LRG_p2_F1L6P3LRG4A,ECFP4,80/20,PPI and FDA,LRG,sag,True
4,LRG5,LRG_p2_F1L6P3LRG5A,ECFP4,80/20,PPI and FDA,LRG,saga,True
5,LRG6,LRG_p2_F1L6P5LRG1A,ECFP4,70/30,PPI and FDA,LRG,newton-cg,True
6,LRG7,LRG_p2_F1L6P5LRG2A,ECFP4,70/30,PPI and FDA,LRG,lbfgs,True
7,LRG8,LRG_p2_F1L6P5LRG3A,ECFP4,70/30,PPI and FDA,LRG,liblinear,True
8,LRG9,LRG_p2_F1L6P5LRG4A,ECFP4,70/30,PPI and FDA,LRG,sag,True
9,LRG10,LRG_p2_F1L6P5LRG5A,ECFP4,70/30,PPI and FDA,LRG,saga,True
10,LRG11,LRG_p2_F2L6P3LRG1A,ECFP6,80/20,PPI and FDA,LRG,newton-cg,True
11,LRG12,LRG_p2_F2L6P3LRG2A,ECFP6,80/20,PPI and FDA,LRG,lbfgs,True
12,LRG13,LRG_p2_F2L6P3LRG3A,ECFP6,80/20,PPI and FDA,LRG,liblinear,True
13,LRG14,LRG_p2_F2L6P3LRG4A,ECFP6,80/20,PPI and FDA,LRG,sag,True
14,LRG15,LRG_p2_F2L6P3LRG5A,ECFP6,80/20,PPI and FDA,LRG,saga,True
15,LRG16,LRG_p2_F2L6P5LRG1A,ECFP6,70/30,PPI and FDA,LRG,newton-cg,True
16,LRG17,LRG_p2_F2L6P5LRG2A,ECFP6,70/30,PPI and FDA,LRG,lbfgs,True
17,LRG18,LRG_p2_F2L6P5LRG3A,ECFP6,70/30,PPI and FDA,LRG,liblinear,True
18,LRG19,LRG_p2_F2L6P5LRG4A,ECFP6,70/30,PPI and FDA,LRG,sag,True
19,LRG20,LRG_p2_F2L6P5LRG5A,ECFP6,70/30,PPI and FDA,LRG,saga,True
20,LRG21,LRG_p2_F3L6P3LRG1A,MACCS Keys,80/20,PPI and FDA,LRG,newton-cg,True
21,LRG22,LRG_p2_F3L6P3LRG2A,MACCS Keys,80/20,PPI and FDA,LRG,lbfgs,True
22,LRG23,LRG_p2_F3L6P3LRG3A,MACCS Keys,80/20,PPI and FDA,LRG,liblinear,True
23,LRG24,LRG_p2_F3L6P3LRG4A,MACCS Keys,80/20,PPI and FDA,LRG,sag,True
24,LRG25,LRG_p2_F3L6P3LRG5A,MACCS Keys,80/20,PPI and FDA,LRG,saga,True
25,LRG26,LRG_p2_F3L6P5LRG1A,MACCS Keys,70/30,PPI and FDA,LRG,newton-cg,True
26,LRG27,LRG_p2_F3L6P5LRG2A,MACCS Keys,70/30,PPI and FDA,LRG,lbfgs,True
27,LRG28,LRG_p2_F3L6P5LRG3A,MACCS Keys,70/30,PPI and FDA,LRG,liblinear,True
28,LRG29,LRG_p2_F3L6P5LRG4A,MACCS Keys,70/30,PPI and FDA,LRG,sag,True
29,LRG30,LRG_p2_F3L6P5LRG5A,MACCS Keys,70/30,PPI and FDA,LRG,saga,True
30,LRG31,LRG_p2_F4L6P3LRG1A,AtomPairs,80/20,PPI and FDA,LRG,newton-cg,True
31,LRG32,LRG_p2_F4L6P3LRG2A,AtomPairs,80/20,PPI and FDA,LRG,lbfgs,True
32,LRG33,LRG_p2_F4L6P3LRG3A,AtomPairs,80/20,PPI and FDA,LRG,liblinear,True
33,LRG34,LRG_p2_F4L6P3LRG4A,AtomPairs,80/20,PPI and FDA,LRG,sag,True
34,LRG35,LRG_p2_F4L6P3LRG5A,AtomPairs,80/20,PPI and FDA,LRG,saga,True
35,LRG36,LRG_p2_F4L6P5LRG1A,AtomPairs,70/30,PPI and FDA,LRG,newton-cg,True
36,LRG37,LRG_p2_F4L6P5LRG2A,AtomPairs,70/30,PPI and FDA,LRG,lbfgs,True
37,LRG38,LRG_p2_F4L6P5LRG3A,AtomPairs,70/30,PPI and FDA,LRG,liblinear,True
38,LRG39,LRG_p2_F4L6P5LRG4A,AtomPairs,70/30,PPI and FDA,LRG,sag,True
39,LRG40,LRG_p2_F4L6P5LRG5A,AtomPairs,70/30,PPI and FDA,LRG,saga,True
