,id_models,Exp,F1
0,ID1  ,SVM_p2_F3L6P3SVM3A.csv,0.92
1,ID2  ,SVM_p2_D11L6P5SVM1A.csv,0.9
2,ID3  ,SVM_p2_F2L6P3SVM4ABN.csv,0.91
3,ID4  ,SVM_p2_F2L6P5SVM4ABN.csv,0.9
4,ID5  ,SVM_p2_F3L6P3SVM1A.csv,0.87
5,ID6  ,SVM_p2_D11L6P5SVM3A.csv,0.91
6,ID7  ,SVM_p2_F3L6P5SVM4A.csv,0.6
7,ID8  ,SVM_p2_D11L6P3SVM4A.csv,0.73
8,ID9  ,SVM_p2_F3L6P5SVM3A.csv,0.92
9,ID10,SVM_p2_F1L6P5SVM3ABN.csv,0.95
10,ID11,SVM_p2_F2L6P5SVM3ABN.csv,0.95
11,ID12,SVM_p2_D11L6P5SVM4A.csv,0.75
12,ID13,SVM_p2_F3L6P3SVM4A.csv,0.59
13,ID14,SVM_p2_F3L6P5SVM2A.csv,0.93
14,ID15,SVM_p2_F1L6P5SVM1ABN.csv,0.94
15,ID16,SVM_p2_F1L6P5SVM2ABN.csv,0.93
16,ID17,SVM_p2_D11L6P3SVM1A.csv,0.89
17,ID18,SVM_p2_F2L6P5SVM2ABN.csv,0.92
18,ID19,SVM_p2_F1L6P3SVM1ABN.csv,0.93
19,ID20,SVM_p2_F3L6P5SVM1A.csv,0.87
20,ID21,SVM_p2_F2L6P5SVM1ABN.csv,0.93
21,ID22,SVM_p2_F1L6P3SVM4ABN.csv,0.9
22,ID23,SVM_p2_D11L6P3SVM2A.csv,0.87
23,ID24,SVM_p2_F1L6P3SVM2ABN.csv,0.93
24,ID25,SVM_p2_F1L6P3SVM3ABN.csv,0.95
25,ID26,SVM_p2_D11L6P3SVM3A.csv,0.91
26,ID27,SVM_p2_D11L6P5SVM2A.csv,0.86
27,ID28,SVM_p2_F1L6P5SVM4ABN.csv,0.9
28,ID29,SVM_p2_F2L6P3SVM2ABN.csv,0.92
29,ID30,SVM_p2_F2L6P3SVM3ABN.csv,0.95
30,ID31,SVM_p2_F3L6P3SVM2A.csv,0.93
